#tau                histogram                     analytic                      
1.00000000e-01      9.53302900656377e-01          9.51229424500714e-01          
3.00000000e-01      8.60655351715353e-01          8.60707976425058e-01          
5.00000000e-01      7.78260416972860e-01          7.78800783071405e-01          
7.00000000e-01      7.05051465118504e-01          7.04688089718713e-01          
9.00000000e-01      6.37707234982289e-01          6.37628151621773e-01          
1.10000000e+00      5.76244647958087e-01          5.76949810380487e-01          
1.30000000e+00      5.21775848070849e-01          5.22045776761016e-01          
1.50000000e+00      4.72151234802255e-01          4.72366552741015e-01          
1.70000000e+00      4.26996203501720e-01          4.27414931948727e-01          
1.90000000e+00      3.86289748300985e-01          3.86741023454501e-01          
2.10000000e+00      3.49222559775809e-01          3.49937749111155e-01          
2.30000000e+00      3.16935373271825e-01          3.16636769379053e-01          
2.50000000e+00      2.85949967103446e-01          2.86504796860190e-01          
2.70000000e+00      2.57699991779225e-01          2.59240260645892e-01          
2.90000000e+00      2.34826935232506e-01          2.34570288093798e-01          
3.10000000e+00      2.11992389444258e-01          2.12247973826743e-01          
3.30000000e+00      1.91900859952594e-01          1.92049908620754e-01          
3.50000000e+00      1.73298413121830e-01          1.73773943450445e-01          
3.70000000e+00      1.56814058006999e-01          1.57237166313628e-01          
3.90000000e+00      1.42090694847729e-01          1.42274071586514e-01          
4.10000000e+00      1.28156802237125e-01          1.28734903587804e-01          
4.30000000e+00      1.15849113927433e-01          1.16484157773497e-01          
4.50000000e+00      1.04878215733774e-01          1.05399224561864e-01          
4.70000000e+00      9.51711706135895e-02          9.53691622155496e-02          
4.90000000e+00      8.61205588764423e-02          8.62935864993705e-02          
5.10000000e+00      7.73692807619602e-02          7.80816660011532e-02          
5.30000000e+00      7.04040849456797e-02          7.06512130604296e-02          
5.50000000e+00      6.35655078352829e-02          6.39278612067076e-02          
5.70000000e+00      5.78139844071958e-02          5.78443208748384e-02          
5.90000000e+00      5.22060010788662e-02          5.23397059484324e-02          
6.10000000e+00      4.74108281528217e-02          4.73589243911409e-02          
6.30000000e+00      4.28047080410920e-02          4.28521268670402e-02          
6.50000000e+00      3.88112590868637e-02          3.87742078317220e-02          
6.70000000e+00      3.49747706482239e-02          3.50843541008450e-02          
6.90000000e+00      3.15566490857064e-02          3.17456363780679e-02          
7.10000000e+00      2.86222459894449e-02          2.87246396542394e-02          
7.30000000e+00      2.57683653881692e-02          2.59911287787553e-02          
7.50000000e+00      2.34670558213258e-02          2.35177458560091e-02          
7.70000000e+00      2.13343766968804e-02          2.12797364383772e-02          
7.90000000e+00      1.92203694553302e-02          1.92547017753869e-02          
8.10000000e+00      1.75883301910145e-02          1.74223746394935e-02          
8.30000000e+00      1.54521500885263e-02          1.57644164848545e-02          
8.50000000e+00      1.40447569152944e-02          1.42642339089993e-02          
8.70000000e+00      1.27488115430938e-02          1.29068125804799e-02          
8.90000000e+00      1.15946557816292e-02          1.16785669703954e-02          
9.10000000e+00      1.05811226382197e-02          1.05672043838526e-02          
9.30000000e+00      9.47072910229098e-03          9.56160193054350e-03          
9.50000000e+00      8.63224486102476e-03          8.65169520312063e-03          
9.70000000e+00      7.73015951864648e-03          7.82837754922577e-03          
9.90000000e+00      6.92318407976603e-03          7.08340892905212e-03          
