#tau                histogram                     analytic                      
1.00000000e-01      9.28774898249834e-01          9.27743486328553e-01          
3.00000000e-01      7.99291853569713e-01          7.98516218759377e-01          
5.00000000e-01      6.88037118346408e-01          6.87289278790972e-01          
7.00000000e-01      5.92043753240922e-01          5.91555364366815e-01          
9.00000000e-01      5.09634646541888e-01          5.09156420607549e-01          
1.10000000e+00      4.38410899551845e-01          4.38234992464949e-01          
1.30000000e+00      3.77607458307689e-01          3.77192353563157e-01          
1.50000000e+00      3.24816589493618e-01          3.24652467358350e-01          
1.70000000e+00      2.79712005203065e-01          2.79430968221407e-01          
1.90000000e+00      2.40596865742074e-01          2.40508463208342e-01          
2.10000000e+00      2.07158987945431e-01          2.07007552681153e-01          
2.30000000e+00      1.78310594438798e-01          1.78173051772898e-01          
2.50000000e+00      1.53389048870810e-01          1.53354966844928e-01          
2.70000000e+00      1.32097365485334e-01          1.31993843187830e-01          
2.90000000e+00      1.13697533845547e-01          1.13608153670764e-01          
3.10000000e+00      9.78745458404011e-02          9.77834440513500e-02          
3.30000000e+00      8.42715122043187e-02          8.41629902573104e-02          
3.50000000e+00      7.25110161761611e-02          7.24397570342515e-02          
3.70000000e+00      6.24470600245952e-02          6.23494766896734e-02          
3.90000000e+00      5.37768015609651e-02          5.36646919127301e-02          
4.10000000e+00      4.62026087561502e-02          4.61896283816801e-02          
4.30000000e+00      3.98341481395052e-02          3.97557815762213e-02          
4.50000000e+00      3.42018191041957e-02          3.42181183116660e-02          
4.70000000e+00      2.94765974993285e-02          2.94518073691073e-02          
4.90000000e+00      2.53771613604161e-02          2.53494055227249e-02          
5.10000000e+00      2.18070827604023e-02          2.18184355310428e-02          
5.30000000e+00      1.87765155140339e-02          1.87793014946844e-02          
5.50000000e+00      1.61529536713840e-02          1.61634945881659e-02          
5.70000000e+00      1.39205335625622e-02          1.39120487189376e-02          
5.90000000e+00      1.20210706310162e-02          1.19742113008036e-02          
6.10000000e+00      1.03313066268639e-02          1.03062991780007e-02          
6.30000000e+00      8.88801914682705e-03          8.87071390992825e-03          
6.50000000e+00      7.65612289664180e-03          7.63509421885996e-03          
6.70000000e+00      6.56807235537286e-03          6.57158649492961e-03          
6.90000000e+00      5.64904551903666e-03          5.65621691395310e-03          
7.10000000e+00      4.84804012261448e-03          4.86835101422977e-03          
7.30000000e+00      4.20008815950520e-03          4.19022854998458e-03          
7.50000000e+00      3.60447098303500e-03          3.60656313601573e-03          
7.70000000e+00      3.12427016671103e-03          3.10419765864931e-03          
7.90000000e+00      2.67652291445059e-03          2.67180768519945e-03          
8.10000000e+00      2.30907341503217e-03          2.29964618612493e-03          
8.30000000e+00      1.96555600391516e-03          1.97932381535319e-03          
8.50000000e+00      1.70668702873061e-03          1.70361979580257e-03          
8.70000000e+00      1.47145032448289e-03          1.46631914704290e-03          
8.90000000e+00      1.25933953295627e-03          1.26207258584461e-03          
9.10000000e+00      1.08630493794629e-03          1.08627594146386e-03          
9.30000000e+00      9.33651261119489e-04          9.34966367416581e-04          
9.50000000e+00      8.01085347719401e-04          8.04733010124613e-04          
9.70000000e+00      7.01059612288155e-04          6.92640120706801e-04          
9.90000000e+00      5.96889734617633e-04          5.96160876684358e-04          
