#tau                histogram                     
1.50000000e-01      7.23493399182537e-01          
4.50000000e-01      4.56389474725422e-01          
7.50000000e-01      3.43189076238823e-01          
1.05000000e+00      2.83332185211484e-01          
1.35000000e+00      2.45554560516620e-01          
1.65000000e+00      2.13186356073211e-01          
1.95000000e+00      2.10293972183657e-01          
2.25000000e+00      2.07059359665950e-01          
2.55000000e+00      1.85410639026958e-01          
2.85000000e+00      1.80122654740330e-01          
3.15000000e+00      1.90080403856276e-01          
3.45000000e+00      1.71401344539003e-01          
3.75000000e+00      1.69116140473591e-01          
4.05000000e+00      1.62757311769839e-01          
4.35000000e+00      1.59125272458147e-01          
4.65000000e+00      1.56497839764582e-01          
4.95000000e+00      1.61079287528571e-01          
5.25000000e+00      1.59047995025983e-01          
5.55000000e+00      1.63088500764826e-01          
5.85000000e+00      1.69513567267576e-01          
6.15000000e+00      1.59202549890310e-01          
6.45000000e+00      1.64578851242268e-01          
6.75000000e+00      1.60659781468254e-01          
7.05000000e+00      1.62083894146698e-01          
7.35000000e+00      1.67129006503669e-01          
7.65000000e+00      1.69336933136916e-01          
7.95000000e+00      1.65980884654380e-01          
8.25000000e+00      1.62094933779864e-01          
8.55000000e+00      1.60902653397911e-01          
8.85000000e+00      1.49708465367346e-01          
9.15000000e+00      1.49167523342200e-01          
9.45000000e+00      1.45999148623490e-01          
9.75000000e+00      1.38238286507625e-01          
1.00500000e+01      1.35765408678388e-01          
1.03500000e+01      1.36593381165856e-01          
1.06500000e+01      1.22164580617584e-01          
1.09500000e+01      1.31261238346563e-01          
1.12500000e+01      1.22893196406555e-01          
1.15500000e+01      1.20011852150167e-01          
1.18500000e+01      1.16335654305810e-01          
1.21500000e+01      1.16247337240480e-01          
1.24500000e+01      1.17649370652592e-01          
1.27500000e+01      1.12703614994118e-01          
1.30500000e+01      1.07647463003981e-01          
1.33500000e+01      1.10296974963878e-01          
1.36500000e+01      1.10308014597045e-01          
1.39500000e+01      1.00990564204740e-01          
1.42500000e+01      1.06002557662212e-01          
1.45500000e+01      9.62104030437594e-02          
1.48500000e+01      9.75903571895390e-02          
1.51500000e+01      1.00648335576587e-01          
1.54500000e+01      9.54265890889565e-02          
1.57500000e+01      9.89151131694875e-02          
1.60500000e+01      9.06464279279757e-02          
1.63500000e+01      8.67825563197926e-02          
1.66500000e+01      8.66721599881302e-02          
1.69500000e+01      8.42544803247242e-02          
1.72500000e+01      8.53032454755168e-02          
1.75500000e+01      7.95847154954058e-02          
1.78500000e+01      7.91210509024238e-02          
1.81500000e+01      7.51136640630796e-02          
1.84500000e+01      7.31265300931568e-02          
1.87500000e+01      7.28505392640009e-02          
1.90500000e+01      6.85119634296696e-02          
1.93500000e+01      6.44162595249955e-02          
1.96500000e+01      5.88633240423781e-02          
1.99500000e+01      5.54851962935094e-02          
2.02500000e+01      5.21181081778070e-02          
2.05500000e+01      5.38402909517400e-02          
2.08500000e+01      5.25376142381240e-02          
2.11500000e+01      4.60352703032102e-02          
2.14500000e+01      4.22817950266894e-02          
2.17500000e+01      4.32864016448170e-02          
2.20500000e+01      3.99413927954471e-02          
2.23500000e+01      4.10343164789046e-02          
2.26500000e+01      4.07362463834162e-02          
2.29500000e+01      3.56800943932794e-02          
2.32500000e+01      3.62762345842563e-02          
2.35500000e+01      3.40462286846763e-02          
2.38500000e+01      3.32844939962059e-02          
2.41500000e+01      3.39689512525126e-02          
2.44500000e+01      2.87472047648823e-02          
2.47500000e+01      2.83718572372302e-02          
2.50500000e+01      2.53359581165149e-02          
2.53500000e+01      2.22338211968022e-02          
2.56500000e+01      2.37793698400755e-02          
2.59500000e+01      2.10415408148486e-02          
2.62500000e+01      2.36248149757481e-02          
2.65500000e+01      2.05778762218666e-02          
2.68500000e+01      2.05889158550328e-02          
2.71500000e+01      1.87894556489361e-02          
2.74500000e+01      2.19026322018151e-02          
2.77500000e+01      1.86238611514426e-02          
2.80500000e+01      1.71997484729979e-02          
2.83500000e+01      1.87784160157699e-02          
2.86500000e+01      1.38547396236280e-02          
2.89500000e+01      1.34131542969785e-02          
2.92500000e+01      1.31261238346563e-02          
2.95500000e+01      1.26514196085081e-02          
2.98500000e+01      1.07084441712503e-02          
