#tau                histogram                     
1.25000000e-01      6.82905749614872e-01          
3.75000000e-01      3.71714364976722e-01          
6.25000000e-01      2.46208222118780e-01          
8.75000000e-01      1.82326155284933e-01          
1.12500000e+00      1.43981863236390e-01          
1.37500000e+00      1.20444478471291e-01          
1.62500000e+00      1.04207040381984e-01          
1.87500000e+00      9.25256959642083e-02          
2.12500000e+00      8.45071577623587e-02          
2.37500000e+00      7.80979667171043e-02          
2.62500000e+00      7.33708507445536e-02          
2.87500000e+00      6.93647091922397e-02          
3.12500000e+00      6.65096544595929e-02          
3.37500000e+00      6.38054667146965e-02          
3.62500000e+00      6.15635604406563e-02          
3.87500000e+00      5.97384620735435e-02          
4.12500000e+00      5.78551813735437e-02          
4.37500000e+00      5.62885277376676e-02          
4.62500000e+00      5.51442917387670e-02          
4.87500000e+00      5.37513908034920e-02          
5.12500000e+00      5.28285653887857e-02          
5.37500000e+00      5.16115518301476e-02          
5.62500000e+00      5.08372105090121e-02          
5.87500000e+00      5.02057435513994e-02          
6.12500000e+00      4.93089810417833e-02          
6.37500000e+00      4.86258847102776e-02          
6.62500000e+00      4.80703725046419e-02          
6.87500000e+00      4.71799643795049e-02          
7.12500000e+00      4.66709682540015e-02          
7.37500000e+00      4.60355794497180e-02          
7.62500000e+00      4.50651954386759e-02          
7.87500000e+00      4.42485081022225e-02          
8.12500000e+00      4.34593729797215e-02          
8.37500000e+00      4.27129313779396e-02          
8.62500000e+00      4.18481393652341e-02          
8.87500000e+00      4.11287038974885e-02          
9.12500000e+00      4.04455579223542e-02          
9.37500000e+00      3.97777518285014e-02          
9.62500000e+00      3.89637948916289e-02          
9.87500000e+00      3.82782660223149e-02          
1.01250000e+01      3.76322038378516e-02          
1.03750000e+01      3.67936236611225e-02          
1.06250000e+01      3.61426964010424e-02          
1.08750000e+01      3.53333563216430e-02          
1.11250000e+01      3.46591461996824e-02          
1.13750000e+01      3.37822411415636e-02          
1.16250000e+01      3.32445013550179e-02          
1.18750000e+01      3.26346293759084e-02          
1.21250000e+01      3.20027156256370e-02          
1.23750000e+01      3.13334698665507e-02          
1.26250000e+01      3.08158357496459e-02          
1.28750000e+01      3.03520153262988e-02          
1.31250000e+01      2.96773087680508e-02          
1.33750000e+01      2.92396505370512e-02          
1.36250000e+01      2.86366293787083e-02          
1.38750000e+01      2.80402108229882e-02          
1.41250000e+01      2.78540968588302e-02          
1.43750000e+01      2.71341153111684e-02          
1.46250000e+01      2.64093183315185e-02          
1.48750000e+01      2.61435263432278e-02          
1.51250000e+01      2.56467921940239e-02          
1.53750000e+01      2.53328458858523e-02          
1.56250000e+01      2.45712133336750e-02          
1.58750000e+01      2.42951947578631e-02          
1.61250000e+01      2.37549727898803e-02          
1.63750000e+01      2.31218675925190e-02          
1.66250000e+01      2.25882978707877e-02          
1.68750000e+01      2.20504587969846e-02          
1.71250000e+01      2.19230732456297e-02          
1.73750000e+01      2.12276652941957e-02          
1.76250000e+01      2.06464873324998e-02          
1.78750000e+01      2.02177649546740e-02          
1.81250000e+01      1.99663199750900e-02          
1.83750000e+01      1.94290766248317e-02          
1.86250000e+01      1.93568947886392e-02          
1.88750000e+01      1.87629087707275e-02          
1.91250000e+01      1.83242080235244e-02          
1.93750000e+01      1.79826598577716e-02          
1.96250000e+01      1.76044746940064e-02          
1.98750000e+01      1.72279774136184e-02          
2.01250000e+01      1.67722489017563e-02          
2.03750000e+01      1.63863689755359e-02          
2.06250000e+01      1.60946630130412e-02          
2.08750000e+01      1.58709688219246e-02          
2.11250000e+01      1.54445300510210e-02          
2.13750000e+01      1.51566962915683e-02          
2.16250000e+01      1.49661144008234e-02          
2.18750000e+01      1.47189387733113e-02          
2.21250000e+01      1.44830322495239e-02          
2.23750000e+01      1.40496433705963e-02          
2.26250000e+01      1.38926205728817e-02          
2.28750000e+01      1.34579409596068e-02          
2.31250000e+01      1.31937375674358e-02          
2.33750000e+01      1.29894043915290e-02          
2.36250000e+01      1.29091802874801e-02          
2.38750000e+01      1.25833195084101e-02          
2.41250000e+01      1.23416046800598e-02          
2.43750000e+01      1.20550616549544e-02          
2.46250000e+01      1.19774686632288e-02          
2.48750000e+01      1.15130525163367e-02          
