#tau                histogram                     
1.25000000e-01      7.75851753359763e-01          
3.75000000e-01      5.09238993039604e-01          
6.25000000e-01      3.69188354492445e-01          
8.75000000e-01      2.85668459061647e-01          
1.12500000e+00      2.30877819864909e-01          
1.37500000e+00      1.93553057620865e-01          
1.62500000e+00      1.66409190630793e-01          
1.87500000e+00      1.45655214216951e-01          
2.12500000e+00      1.30111788532454e-01          
2.37500000e+00      1.16956278475556e-01          
2.62500000e+00      1.06454636734639e-01          
2.87500000e+00      9.80392618008286e-02          
3.12500000e+00      9.02841002695061e-02          
3.37500000e+00      8.35435199515213e-02          
3.62500000e+00      7.82202694127375e-02          
3.87500000e+00      7.30756409987039e-02          
4.12500000e+00      6.82577948773096e-02          
4.37500000e+00      6.41978667630717e-02          
4.62500000e+00      6.01024311356508e-02          
4.87500000e+00      5.65318748299283e-02          
5.12500000e+00      5.33689711821954e-02          
5.37500000e+00      5.02162058018388e-02          
5.62500000e+00      4.74296912247910e-02          
5.87500000e+00      4.49895281541553e-02          
6.12500000e+00      4.25624269442789e-02          
6.37500000e+00      4.01762088870314e-02          
6.62500000e+00      3.82905854645112e-02          
6.87500000e+00      3.60427193909006e-02          
7.12500000e+00      3.42007612501963e-02          
7.37500000e+00      3.26419672750475e-02          
7.62500000e+00      3.07961896010525e-02          
7.87500000e+00      2.93940908002819e-02          
8.12500000e+00      2.78841491274670e-02          
8.37500000e+00      2.63900985993303e-02          
8.62500000e+00      2.50155381620375e-02          
8.87500000e+00      2.37059097906848e-02          
9.12500000e+00      2.24812542463647e-02          
9.37500000e+00      2.14421997271281e-02          
9.62500000e+00      2.03173707504151e-02          
9.87500000e+00      1.90817281535430e-02          
1.01250000e+01      1.81842792944502e-02          
1.03750000e+01      1.74126392602869e-02          
1.06250000e+01      1.64941122359979e-02          
1.08750000e+01      1.57089387937556e-02          
1.11250000e+01      1.47997484063991e-02          
1.13750000e+01      1.40543735579501e-02          
1.16250000e+01      1.33299354105014e-02          
1.18750000e+01      1.26136550316857e-02          
1.21250000e+01      1.19497635601027e-02          
1.23750000e+01      1.13455228244776e-02          
1.26250000e+01      1.06406538908017e-02          
1.28750000e+01      1.02411590014451e-02          
1.31250000e+01      9.82695183570996e-03          
1.33750000e+01      9.21252567797668e-03          
1.36250000e+01      8.71853270572696e-03          
1.38750000e+01      8.32681834714749e-03          
1.41250000e+01      7.87502886002220e-03          
1.43750000e+01      7.47826894512060e-03          
1.46250000e+01      7.13837763699001e-03          
1.48750000e+01      6.69875407071623e-03          
1.51250000e+01      6.47359022549931e-03          
1.53750000e+01      6.11761915376267e-03          
1.56250000e+01      5.76584485317247e-03          
1.58750000e+01      5.50248567504964e-03          
1.61250000e+01      5.28430073016615e-03          
1.63750000e+01      5.02075293311540e-03          
1.66250000e+01      4.76366533434626e-03          
1.68750000e+01      4.51402818323037e-03          
1.71250000e+01      4.28037648625659e-03          
1.73750000e+01      4.16602626119878e-03          
1.76250000e+01      3.93775020367101e-03          
1.78750000e+01      3.76851187058546e-03          
1.81250000e+01      3.61997446484027e-03          
1.83750000e+01      3.44337999356543e-03          
1.86250000e+01      3.28937263891026e-03          
1.88750000e+01      3.10636512408578e-03          
1.91250000e+01      2.94193657366246e-03          
1.93750000e+01      2.82810505065646e-03          
1.96250000e+01      2.69008315014339e-03          
1.98750000e+01      2.46487215019449e-03          
2.01250000e+01      2.34613653506230e-03          
2.03750000e+01      2.29539804344902e-03          
2.06250000e+01      2.21499922541869e-03          
2.08750000e+01      2.03057706863474e-03          
2.11250000e+01      1.95536527112249e-03          
2.13750000e+01      1.86624282767538e-03          
2.16250000e+01      1.75500481492842e-03          
2.18750000e+01      1.66687262085294e-03          
2.21250000e+01      1.55869966568486e-03          
2.23750000e+01      1.50664084157607e-03          
2.26250000e+01      1.44906491382531e-03          
2.28750000e+01      1.40167440818280e-03          
2.31250000e+01      1.27421516763383e-03          
2.33750000e+01      1.25308984770562e-03          
2.36250000e+01      1.17665202716183e-03          
2.38750000e+01      1.13001599723104e-03          
2.41250000e+01      1.06121724326842e-03          
2.43750000e+01      1.01689179520478e-03          
2.46250000e+01      9.59221557990058e-04          
2.48750000e+01      8.80237381919202e-04          
